experiment,emissions,auroc
chemberta2_bace_classic,0.0008057618909741656,0.8396354852876592
chemberta2_bace_early,0.00039240991119231033,0.8069169960474308
chemberta_bace_early,0.0019407031215412352,0.8526570048309179
chemberta_bace_classic,0.0043452967819693124,0.8858585858585858
